diameter,thickness,main_metal,weight,edge,magnetism,legal_us_tender
19.01,1.57,steel,2.766,plain,TRUE,TRUE
19.07,1.45,steel,2.609,plain,TRUE,TRUE
19.01,1.56,steel,2.862,plain,TRUE,TRUE
19.02,1.54,steel,2.83,plain,TRUE,TRUE
19,1.54,steel,2.8,plain,TRUE,TRUE
19.01,1.52,steel,2.718,plain,TRUE,TRUE
19.03,1.51,steel,2.682,plain,TRUE,TRUE
18.97,1.44,steel,2.676,plain,TRUE,TRUE
19.07,1.52,steel,2.821,plain,TRUE,TRUE
19.04,1.46,steel,2.77,plain,TRUE,TRUE
19.03,1.4,zinc,2.511,plain,FALSE,TRUE
19.04,1.41,zinc,2.494,plain,FALSE,TRUE
19.06,1.46,zinc,2.5,plain,FALSE,TRUE
19.06,1.42,zinc,2.511,plain,FALSE,TRUE
19.01,1.42,zinc,2.5,plain,FALSE,TRUE
19.04,1.42,zinc,2.5,plain,FALSE,TRUE
19.06,1.38,zinc,2.517,plain,FALSE,TRUE
19.05,1.43,zinc,2.474,plain,FALSE,TRUE
19.05,1.4,zinc,2.524,plain,FALSE,TRUE
19,1.45,zinc,2.511,plain,FALSE,TRUE
19.02,1.53,copper,3.1,plain,FALSE,TRUE
18.99,1.49,copper,3.07,plain,FALSE,TRUE
19.01,1.47,copper,3.133,plain,FALSE,TRUE
18.97,1.52,copper,3.066,plain,FALSE,TRUE
19.07,1.58,copper,3.165,plain,FALSE,TRUE
19.03,1.41,copper,3.004,plain,FALSE,TRUE
19.06,1.53,copper,3.205,plain,FALSE,TRUE
19.04,1.52,copper,3.037,plain,FALSE,TRUE
18.98,1.49,copper,3.091,plain,FALSE,TRUE
19.01,1.51,copper,3.034,plain,FALSE,TRUE
21.18,1.81,manganese,4.925,plain,FALSE,TRUE
21.19,1.83,manganese,4.82,plain,FALSE,TRUE
21.21,1.79,manganese,4.911,plain,FALSE,TRUE
21.19,1.78,manganese,4.871,plain,FALSE,TRUE
21.3,1.93,manganese,5.033,plain,FALSE,TRUE
21.19,1.89,manganese,4.936,plain,FALSE,TRUE
21.2,1.8,manganese,4.852,plain,FALSE,TRUE
21.19,1.93,manganese,4.953,plain,FALSE,TRUE
21.23,1.78,manganese,4.884,plain,FALSE,TRUE
21.24,1.86,copper,5.061,plain,FALSE,TRUE
21.2,1.75,copper,4.839,plain,FALSE,TRUE
21.25,1.82,copper,5.149,plain,FALSE,TRUE
21.13,1.59,copper,4.645,plain,FALSE,TRUE
21.22,1.78,copper,4.9,plain,FALSE,TRUE
21.17,1.75,copper,4.812,plain,FALSE,TRUE
21.19,1.74,copper,4.879,plain,FALSE,TRUE
21.2,1.87,copper,5.067,plain,FALSE,TRUE
21.15,1.9,copper,5.028,plain,FALSE,TRUE
21.19,1.86,copper,5.028,plain,FALSE,TRUE
21.22,1.91,copper,4.952,plain,FALSE,TRUE
21.18,1.9,copper,4.942,plain,FALSE,TRUE
21.19,1.85,copper,4.98,plain,FALSE,TRUE
21.2,1.9,copper,5.004,plain,FALSE,TRUE
21.22,1.84,copper,4.859,plain,FALSE,TRUE
